Item;Count
python;47
sql;26
aws;18
excel;15
r;13
hadoop;13
spark;12
java;11
azure;9
tensorflow;8
spss;8
microsoft excel;8
etl;8
tableau;7
pytorch;7
gcp;7
microsoft;7
or;5
google cloud;5
job;5
etc;5
mysql;5
ml;5
data;5
tableau bi;4
docker;4
query;4
bigquery;4
looker;4
bi;4
test;4
google;3
transform;3
microsoft office;3
ai;3
step;3
xml;3
programming;3
kubernetes;3
sql server;3
religion;3
physic;3
spreadsheet;3
sa;2
nosql;2
oracle;2
neural;2
nlp;2
model;2
conduct;2
talend;2
m;2
cloudera;2
collaborate;2
lead;2
google bigquery;2
apache;2
create;2
analytics;2
numpy;2
postgresql;2
opencv;2
kera;2
word;2
cloud;2
bi tool;2
purpose;2
snowflake;2
c++;2
resolve;2
unix;2
please;2
scala;2
emr;2
redshift;2
salesforce;2
matplotlib framework;1
big;1
hasil;1
data visual;1
dvc;1
text knowledge;1
experience;1
machine;1
version;1
ocbc;1
algorithm;1
jft;1
printout;1
javascript;1
client click;1
saas;1
menganalisis;1
skill;1
ready;1
python framework;1
experienced;1
geology;1
microsoft ssis;1
kafka;1
postgres;1
db2;1
pembelajaran;1
digitalocean;1
grafana;1
optimize;1
kubeflow;1
api development;1
u;1
model deployment;1
kubernetes environment;1
using;1
ci like;1
yolo;1
argo;1
ci;1
git;1
the;1
typescript;1
github;1
ml typescript;1
jupyter;1
data analytics;1
building;1
aws redshift;1
scientist;1
fmcg;1
superset;1
rdbms;1
key;1
gather;1
apply;1
panda;1
bigquery api;1
mongodb;1
decision;1
note;1
ms. office;1
melak;1
hypothesis;1
gojek;1
goto;1
gobiz;1
aws sagemaker;1
google kubernetes;1
mxnet;1
vba;1
snippet;1
html;1
r bi;1
color;1
we;1
merit;1
dairy;1
coffee;1
national;1
olap;1
m ssis;1
impala;1
m ssrs;1
hive;1
pyspark;1
databricks;1
like;1
migration;1
job etl;1
format;1
sql language;1
compile;1
food;1
our;1
basic;1
tableau studio;1
claim;1
payment;1
llm;1
nvdia;1
messaging;1
m azure;1
sme;1
apache spark;1
golang;1
node.js;1
being;1
teaching;1
strategy;1
vlookup;1
passionate;1
google cloud storage;1
ms. excel;1
erp;1
proven;1
prd;1
adobe product;1
fsd;1
sketch;1
figma;1
sql tool;1
python script;1
insight;1
library;1
matlab;1
nltk;1
conversion;1
role;1
bi analyst;1
creative;1
self starter;1
coriuous;1
analysis;1
text;1
metadata;1
scp;1
rest api;1
linux;1
ftp;1
core;1
protobuf;1
task;1
ab;1
redhat;1
json;1
s3;1
lambda;1
athena;1
gdpr;1
agile;1
cloud sql;1
php;1
such;1
go;1
vertex ai;1
amazon redshift;1
database;1
load;1
microsoft azure;1
retrieval;1
apis;1
apache hadoop;1
schema design;1
nifi;1
eda;1
mindset;1
develop etl;1
framework;1
aws glue;1
dbt;1
glue;1
[;1
matplotlib;1
